日付,時間,始値,高値,安値,終値,出来高
2025/12/26,17:00,50520,50530,50480,50480,299
2025/12/26,18:00,50480,50490,50480,50480,22
2025/12/26,19:00,50480,50480,50480,50480,1
2025/12/26,20:00,50480,50480,50470,50470,10
2025/12/26,21:00,50470,50480,50470,50480,16
2025/12/26,22:00,50480,50480,50480,50480,0
2025/12/26,23:00,50480,50490,50480,50490,19
2025/12/26,0:00,50490,50490,50490,50490,2
2025/12/26,1:00,50490,50490,50490,50490,2
2025/12/26,2:00,50490,50490,50490,50490,0
2025/12/26,3:00,50490,50500,50490,50500,6
2025/12/26,4:00,50500,50500,50500,50500,1
2025/12/26,5:00,50490,50520,50490,50520,22
2025/12/26,6:00,50490,50490,50490,50490,33
2025/12/26,8:45,50510,50550,50490,50520,522
2025/12/26,9:00,50530,50920,50520,50790,4525
2025/12/26,10:00,50790,50940,50740,50870,2119
2025/12/26,11:00,50870,50960,50850,50850,1407
2025/12/26,12:00,50860,50970,50860,50880,1168
2025/12/26,13:00,50870,50910,50800,50820,1234
2025/12/26,14:00,50810,50830,50680,50700,1638
2025/12/26,15:00,50690,50780,50640,50720,2649
2025/12/29,17:00,50720,50720,50650,50710,655
2025/12/29,18:00,50710,50740,50700,50720,186
2025/12/29,19:00,50720,50750,50700,50710,136
2025/12/29,20:00,50710,50720,50650,50670,164
2025/12/29,21:00,50670,50680,50630,50630,159
2025/12/29,22:00,50640,50650,50590,50620,163
2025/12/29,23:00,50620,50660,50500,50520,432
2025/12/29,0:00,50510,50630,50430,50630,490
2025/12/29,1:00,50630,50670,50580,50630,154
2025/12/29,2:00,50620,50690,50610,50660,127
2025/12/29,3:00,50660,50660,50600,50630,145
2025/12/29,4:00,50630,50650,50620,50630,49
2025/12/29,5:00,50620,50690,50600,50680,134
2025/12/29,6:00,50680,50680,50680,50680,24
2025/12/29,8:45,50800,50810,50690,50780,666
2025/12/29,9:00,50770,50780,50410,50650,4225
2025/12/29,10:00,50660,50710,50490,50590,1813
2025/12/29,11:00,50580,50610,50540,50550,1028
2025/12/29,12:00,50550,50700,50520,50650,973
2025/12/29,13:00,50650,50750,50650,50680,1045
2025/12/29,14:00,50680,50680,50470,50480,1872
2025/12/29,15:00,50470,50580,50440,50480,3977
2025/12/30,17:00,50450,50460,50340,50370,1042
2025/12/30,18:00,50380,50450,50380,50420,357
2025/12/30,19:00,50430,50470,50410,50440,231
2025/12/30,20:00,50440,50470,50420,50460,102
2025/12/30,21:00,50450,50460,50360,50380,170
2025/12/30,22:00,50370,50400,50270,50350,371
2025/12/30,23:00,50340,50480,50270,50360,707
2025/12/30,0:00,50360,50460,50290,50330,652
2025/12/30,1:00,50330,50360,50270,50310,384
2025/12/30,2:00,50310,50320,50240,50320,236
2025/12/30,3:00,50310,50370,50300,50310,83
2025/12/30,4:00,50300,50390,50300,50390,66
2025/12/30,5:00,50390,50390,50360,50360,69
2025/12/30,6:00,50380,50380,50380,50380,22
2025/12/30,8:45,50290,50350,50240,50340,614
2025/12/30,9:00,50340,50530,50260,50520,3154
2025/12/30,10:00,50520,50540,50440,50450,1463
2025/12/30,11:00,50450,50520,50410,50500,919
2025/12/30,12:00,50500,50560,50440,50460,1155
2025/12/30,13:00,50470,50590,50430,50560,1616
2025/12/30,14:00,50550,50550,50470,50490,1596
2025/12/30,15:00,50480,50500,50370,50500,2887
2026/1/5,17:00,50450,50510,50430,50500,631
2026/1/5,18:00,50490,50500,50450,50480,408
2026/1/5,19:00,50490,50490,50450,50470,122
2026/1/5,20:00,50470,50530,50460,50510,266
2026/1/5,21:00,50500,50600,50500,50580,307
2026/1/5,22:00,50590,50630,50570,50620,382
2026/1/5,23:00,50610,50640,50560,50620,362
2026/1/5,0:00,50630,50680,50590,50670,358
2026/1/5,1:00,50660,50730,50650,50680,395
2026/1/5,2:00,50680,50700,50660,50680,84
2026/1/5,3:00,50670,50700,50660,50690,80
2026/1/5,4:00,50680,50700,50660,50680,104
2026/1/5,5:00,50680,50680,50610,50610,139
2026/1/5,6:00,50620,50620,50620,50620,24
2026/1/5,8:45,50800,51270,50790,51250,3209
2026/1/5,9:00,51250,51780,51250,51760,9288
2026/1/5,10:00,51770,51880,51660,51720,4255
2026/1/5,11:00,51730,51820,51630,51680,2403
2026/1/5,12:00,51670,51740,51630,51720,1530
2026/1/5,13:00,51720,51960,51720,51930,2458
2026/1/5,14:00,51930,52100,51910,52070,4228
2026/1/5,15:00,52070,52090,51820,51820,6832
2026/1/6,17:00,51800,51950,51760,51890,2198
2026/1/6,18:00,51890,51950,51880,51920,585
2026/1/6,19:00,51920,52030,51890,51930,1248
2026/1/6,20:00,51920,51970,51880,51950,465
2026/1/6,21:00,51960,52030,51950,52010,359
2026/1/6,22:00,52010,52060,51960,52020,491
2026/1/6,23:00,52020,52120,51950,52010,1653
2026/1/6,0:00,52020,52230,51950,52220,785
2026/1/6,1:00,52220,52300,52190,52270,617
2026/1/6,2:00,52260,52280,52220,52230,384
2026/1/6,3:00,52220,52220,52150,52180,177
2026/1/6,4:00,52170,52190,52140,52170,137
2026/1/6,5:00,52170,52220,52150,52210,155
2026/1/6,6:00,52200,52200,52200,52200,31
2026/1/6,8:45,52150,52280,52140,52230,1317
2026/1/6,9:00,52230,52520,52070,52150,7498
2026/1/6,10:00,52150,52370,52110,52340,2585
2026/1/6,11:00,52340,52350,52140,52260,2028
2026/1/6,12:00,52260,52340,52220,52320,1739
2026/1/6,13:00,52310,52480,52310,52470,1647
2026/1/6,14:00,52480,52580,52420,52460,2519
2026/1/6,15:00,52460,52690,52460,52690,5457
2026/1/7,17:00,52650,52650,52220,52240,3195
2026/1/7,18:00,52250,52260,52110,52160,916
2026/1/7,19:00,52160,52190,52070,52120,732
2026/1/7,20:00,52130,52160,52050,52070,285
2026/1/7,21:00,52070,52190,52050,52180,611
2026/1/7,22:00,52180,52220,52010,52040,875
2026/1/7,23:00,52040,52180,51960,52150,1011
2026/1/7,0:00,52150,52210,52110,52120,1302
2026/1/7,1:00,52110,52130,52020,52050,935
2026/1/7,2:00,52040,52080,51970,52040,666
2026/1/7,3:00,52030,52060,52010,52060,281
2026/1/7,4:00,52050,52060,52030,52060,224
2026/1/7,5:00,52060,52120,52060,52070,264
2026/1/7,6:00,52050,52050,52050,52050,35
2026/1/7,8:45,52090,52280,52080,52220,1342
2026/1/7,9:00,52230,52460,52170,52320,4454
2026/1/7,10:00,52320,52460,52270,52280,2344
2026/1/7,11:00,52280,52340,52230,52250,1498
2026/1/7,12:00,52260,52290,52140,52150,1402
2026/1/7,13:00,52150,52150,51910,51920,2769
2026/1/7,14:00,51920,52090,51880,51980,2287
2026/1/7,15:00,51980,52070,51960,52010,3447
2026/1/8,17:00,52050,52060,51940,51940,774
2026/1/8,18:00,51950,51980,51900,51980,237
2026/1/8,19:00,51970,52070,51970,52070,349
2026/1/8,20:00,52070,52140,52060,52070,459
2026/1/8,21:00,52060,52060,51950,51980,337
2026/1/8,22:00,51980,52020,51970,52000,274
2026/1/8,23:00,52000,52030,51940,51940,466
2026/1/8,0:00,51950,52040,51910,51990,552
2026/1/8,1:00,52010,52120,52010,52120,198
2026/1/8,2:00,52120,52130,52050,52060,354
2026/1/8,3:00,52050,52080,52020,52070,148
2026/1/8,4:00,52070,52110,52030,52100,93
2026/1/8,5:00,52100,52100,51920,51980,352
2026/1/8,6:00,51990,51990,51990,51990,22
2026/1/8,8:45,51920,51960,51760,51800,1180
2026/1/8,9:00,51810,51890,51550,51650,3859
2026/1/8,10:00,51650,51750,51580,51750,1822
2026/1/8,11:00,51750,51810,51470,51500,2422
2026/1/8,12:00,51490,51530,51390,51430,2370
2026/1/8,13:00,51420,51450,51340,51360,1766
2026/1/8,14:00,51370,51420,51310,51340,2082
2026/1/8,15:00,51340,51400,51090,51190,7982
2026/1/9,17:00,51360,51570,51360,51540,2159
2026/1/9,18:00,51540,51550,51470,51520,583
2026/1/9,19:00,51510,51520,51440,51510,474
2026/1/9,20:00,51520,51550,51360,51480,1539
